id,answer_id,comment,date_created,reason,session
1499,39,sin comentario,2022-02-17 18:33:16.535,sin razón,1760954503
1500,30,sin comentario,2022-02-17 18:33:25.112,sin razón,1760954503
1501,20,sin comentario,2022-02-17 18:40:57.260,sin razón,1761085464
1502,28,sin comentario,2022-02-17 18:41:34.272,sin razón,1761085464
1503,72,sin comentario,2022-02-17 18:41:58.820,sin razón,1761085464
1504,94,sin comentario,2022-02-17 18:42:29.579,sin razón,1761085464
1505,95,sin comentario,2022-02-17 18:42:45.381,sin razón,1761085464
1506,78,sin comentario,2022-02-17 18:42:59.590,sin razón,1761085464
1507,26,sin comentario,2022-02-17 18:43:15.207,sin razón,1761085464
1508,81,sin comentario,2022-02-17 18:43:29.441,sin razón,1761085464
1509,92,sin comentario,2022-02-17 18:43:46.964,sin razón,1761085464
1510,40,sin comentario,2022-02-17 18:43:58.603,sin razón,1761085464
1511,23,sin comentario,2022-02-17 18:44:07.137,sin razón,1761085464
1512,56,sin comentario,2022-02-17 18:44:16.291,sin razón,1761085464
1513,52,sin comentario,2022-02-17 18:44:27.568,sin razón,1761085464
1514,104,sin comentario,2022-02-17 18:44:32.912,sin razón,1761085464
1515,41,sin comentario,2022-02-17 18:44:42.288,sin razón,1761085464
1516,68,sin comentario,2022-02-17 18:44:54.323,sin razón,1761085464
1517,72,sin comentario,2022-02-17 18:44:57.090,sin razón,1761388478
1518,65,sin comentario,2022-02-17 18:45:12.482,sin razón,1761085464
1519,6,sin comentario,2022-02-17 18:45:18.437,sin razón,1761085464
1520,59,sin comentario,2022-02-17 18:45:20.243,sin razón,1761388478
1521,56,sin comentario,2022-02-17 18:45:37.722,sin razón,1761388478
1522,34,sin comentario,2022-02-17 18:45:42.626,sin razón,1761085464
1523,12,sin comentario,2022-02-17 18:45:52.612,sin razón,1761388478
1524,99,sin comentario,2022-02-17 18:45:57.483,sin razón,1761085464
1525,88,sin comentario,2022-02-17 18:46:03.606,sin razón,1761085464
1526,49,sin comentario,2022-02-17 18:46:20.192,sin razón,1761085464
1527,63,sin comentario,2022-02-17 18:46:29.633,sin razón,1761085464
1528,34,sin comentario,2022-02-17 18:46:30.079,sin razón,1761388478
1529,44,sin comentario,2022-02-17 18:46:39.353,sin razón,1761085464
1530,46,sin comentario,2022-02-17 18:46:42.215,sin razón,1761388478
1531,89,sin comentario,2022-02-17 18:46:48.827,sin razón,1761085464
1532,108,sin comentario,2022-02-17 18:46:54.039,sin razón,1761388478
1533,15,sin comentario,2022-02-17 18:47:18.436,sin razón,1761085464
1534,51,sin comentario,2022-02-17 18:47:31.834,sin razón,1761085464
1535,60,sin comentario,2022-02-17 18:47:44.156,sin razón,1761085464
1536,2,sin comentario,2022-02-17 18:47:52.642,sin razón,1761085464
1537,59,sin comentario,2022-02-17 18:47:59.952,sin razón,1761085464
1538,87,sin comentario,2022-02-17 18:48:13.931,sin razón,1761085464
1539,75,sin comentario,2022-02-17 18:48:22.513,sin razón,1761085464
1540,24,sin comentario,2022-02-17 18:48:27.033,sin razón,1761085464
1541,53,sin comentario,2022-02-17 18:48:31.953,sin razón,1761085464
1542,86,sin comentario,2022-02-17 18:48:44.560,sin razón,1761085464
1543,47,sin comentario,2022-02-17 18:48:55.993,sin razón,1761085464
1544,110,sin comentario,2022-02-17 18:49:04.685,sin razón,1761085464
1545,83,sin comentario,2022-02-17 18:49:11.648,sin razón,1761085464
1546,10,sin comentario,2022-02-17 18:49:18.531,sin razón,1761085464
1547,69,sin comentario,2022-02-17 18:49:25.251,sin razón,1761085464
1548,74,sin comentario,2022-02-17 18:49:35.361,sin razón,1761085464
1549,21,sin comentario,2022-02-17 18:49:40.442,sin razón,1761085464
1550,85,sin comentario,2022-02-17 18:49:47.793,sin razón,1761085464
1551,98,sin comentario,2022-02-17 18:49:54.124,sin razón,1761085464
1552,37,sin comentario,2022-02-17 18:49:59.887,sin razón,1761085464
1553,46,sin comentario,2022-02-17 18:50:09.521,sin razón,1761085464
1554,50,sin comentario,2022-02-17 18:50:14.794,sin razón,1761085464
1555,5,sin comentario,2022-02-17 18:50:21.368,sin razón,1761085464
1556,101,sin comentario,2022-02-17 18:50:30.771,sin razón,1761085464
1557,55,sin comentario,2022-02-17 18:50:38.874,sin razón,1761085464
1558,91,sin comentario,2022-02-17 18:50:53.435,sin razón,1761085464
1559,14,sin comentario,2022-02-17 18:51:04.638,sin razón,1761085464
1560,67,sin comentario,2022-02-17 18:51:09.083,sin razón,1761085464
